T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001206 s
T: 23.69 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.20 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001206 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001220 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.20 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001210 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001216 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001209 s
T: 23.70 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001227 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001222 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001207 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001241 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001206 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001227 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001204 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001203 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001249 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001209 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001224 s
T: 23.69 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001219 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001215 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001206 s
T: 23.69 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001225 s
T: 23.69 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001205 s
T: 23.69 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001205 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001206 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001207 s
T: 23.69 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001206 s
T: 23.69 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001204 s
T: 23.69 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001232 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001218 s
T: 23.69 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001201 s
T: 23.68 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001210 s
T: 23.69 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001210 s
T: 23.69 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001209 s
T: 23.69 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001203 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001198 s
T: 23.69 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001201 s
T: 23.68 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001227 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001212 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001202 s
T: 23.69 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001232 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001201 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001223 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001210 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001201 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001202 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001225 s
T: 23.69 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001206 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001191 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001186 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001178 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001195 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001201 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001221 s
T: 23.69 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001203 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001204 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001161 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001174 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001201 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001206 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001122 s | E2E: 0.001122 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001203 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001203 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001243 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001203 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001218 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001231 s
T: 23.71 C, P: 1006.20 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001217 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001227 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001241 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001219 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001220 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001241 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001233 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001203 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001233 s
T: 23.69 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001139 s | E2E: 0.001139 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001240 s
T: 23.70 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001208 s
T: 23.69 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001226 s
T: 23.69 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001137 s | E2E: 0.001137 s | Jitter: 0.001232 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001216 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001240 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001123 s | E2E: 0.001123 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.04 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001211 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001205 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001222 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001224 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001135 s | E2E: 0.001135 s | Jitter: 0.003131 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.003101 s
T: 23.71 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001222 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001133 s | E2E: 0.001133 s | Jitter: 0.001232 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001213 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001207 s
T: 23.69 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001136 s | E2E: 0.001136 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001209 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.20 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.003107 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001221 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001209 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.20 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001217 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001214 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.18 hPa, H: 84.74 % | Exec: 0.001147 s | E2E: 0.001147 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001235 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001220 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001149 s | E2E: 0.001149 s | Jitter: 0.001180 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001248 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001142 s | E2E: 0.001142 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001221 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001204 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001214 s
T: 23.71 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001211 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001211 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001134 s | E2E: 0.001134 s | Jitter: 0.001230 s
T: 23.69 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001218 s
T: 23.70 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001213 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001221 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001210 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001144 s | E2E: 0.001144 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001224 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001209 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.07 hPa, H: 84.74 % | Exec: 0.001138 s | E2E: 0.001138 s | Jitter: 0.001229 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001231 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001203 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001209 s
T: 23.70 C, P: 1006.09 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001210 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001208 s
T: 23.69 C, P: 1006.19 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001207 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001223 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001212 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001234 s
T: 23.71 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001252 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001223 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001141 s | E2E: 0.001141 s | Jitter: 0.001217 s
T: 23.71 C, P: 1006.14 hPa, H: 84.74 % | Exec: 0.001140 s | E2E: 0.001140 s | Jitter: 0.001234 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001221 s
