temperature,pressure,humidity
21.85,100884,51
21.85,100884,51
21.85,100887,51
21.87,100889,51
21.86,100889,51
21.86,100888,51
21.87,100890,51
21.87,100896,51
21.87,100896,51
21.87,100885,51
21.88,100886,51
21.88,100888,51
21.88,100886,51
21.88,100886,51
21.88,100892,51
21.88,100886,51
21.88,100889,51
21.89,100887,51
21.89,100894,51
21.89,100887,51
21.9,100884,51
21.9,100889,51
21.9,100887,51
21.9,100890,51
21.9,100887,51
21.9,100887,51
21.9,100890,51
21.9,100887,51
21.9,100890,51
21.9,100887,51
21.91,100891,51
21.9,100890,51
21.91,100882,51
21.9,100884,51
21.91,100893,51
21.9,100881,51
21.92,100890,51
21.91,100891,51
21.92,100887,51
21.92,100892,51
21.92,100892,51
21.92,100881,51
21.93,100892,51
21.92,100890,51
21.92,100893,51
21.92,100882,51
21.93,100887,51
21.93,100892,51
21.93,100886,51
21.93,100884,51
21.94,100885,51
21.93,100892,51
21.93,100887,51
21.93,100884,51
21.94,100885,51
21.93,100889,51
21.94,100886,51
21.94,100887,51
21.94,100891,51
21.95,100893,51
21.94,100886,51
21.95,100893,51
21.94,100886,51
21.95,100893,51
21.94,100886,51
21.95,100893,51
21.95,100887,51
21.95,100887,51
21.95,100890,51
21.95,100884,51
21.96,100889,51
21.95,100893,51
21.96,100883,51
21.97,100890,51
21.96,100888,51
21.97,100890,51
21.96,100889,51
21.96,100886,51
21.97,100887,51
21.96,100883,51
21.95,100879,51
21.98,100894,51
21.96,100889,51
21.97,100891,51
21.97,100891,51
21.97,100885,51
21.97,100893,51
21.97,100885,51
21.98,100891,51
21.97,100885,51
21.98,100887,51
21.97,100885,51
21.98,100891,51
21.98,100886,51
21.98,100887,51
21.97,100891,51
21.98,100880,51
21.97,100888,51
21.98,100887,51
21.98,100891,51
21.99,100888,51
21.98,100892,51
21.97,100885,51
21.98,100892,51
21.98,100889,51
21.98,100891,51
21.97,100885,51
21.99,100886,51
21.98,100892,51
21.98,100890,51
21.98,100887,51
21.99,100893,51
21.99,100886,51
21.99,100888,51
21.99,100882,51
21.99,100897,51
22,100890,51
22,100896,51
22,100892,51
22,100893,51
22,100889,51
21.99,100888,51
21.99,100883,51
22,100893,51
22,100890,51
22,100887,51
22,100893,51
22,100885,51
22.01,100885,51
22.01,100885,51
22,100892,51
22,100890,51
22,100884,51
22,100884,51
22.01,100895,51
22.01,100891,51
22.01,100885,51
22,100896,51
22,100885,51
22.01,100885,51
22,100885,51
22,100893,51
22,100885,51
22,100896,51
22.01,100885,51
22.02,100896,51
22.02,100894,51
22.02,100887,51
22,100890,51
22.02,100894,51
22.02,100891,51
22.02,100894,51
22.02,100885,51
22.03,100892,51
22.03,100890,51
22.03,100887,51
22.03,100889,51
22.03,100884,51
22.04,100897,51
22.04,100886,51
22.03,100883,51
22.04,100886,51
22.04,100891,50
22.04,100891,50
22.04,100889,50
22.04,100891,50
22.03,100887,50
22.05,100893,50
22.04,100897,50
22.04,100891,50
22.05,100890,50
22.04,100891,50
22.04,100886,50
22.05,100899,50
22.05,100885,50
22.05,100888,50
22.05,100888,50
22.06,100895,50
22.05,100888,50
22.06,100894,50
22.06,100888,50
22.06,100894,50
22.06,100889,50
22.06,100889,50
22.06,100889,50
22.07,100891,50
22.07,100897,50
22.06,100884,50
22.07,100891,50
22.06,100892,50
22.07,100885,50
22.06,100884,50
22.08,100892,50
22.08,100892,50
22.08,100893,50
22.07,100883,50
22.07,100887,50
22.09,100894,50
22.1,100901,50
22.08,100887,50
22.09,100889,50
22.09,100882,50
22.09,100885,50
22.09,100892,50
22.1,100891,50
22.1,100888,50
22.09,100883,50
22.1,100891,50
22.1,100891,50
22.1,100891,50
22.1,100890,50
22.1,100892,50
22.1,100891,50
22.11,100895,50
22.1,100891,50
22.11,100891,50
22.11,100887,50
22.12,100894,50
22.12,100891,50
22.12,100891,50
22.12,100888,50
22.12,100888,50
22.12,100888,50
22.12,100888,50
22.13,100890,50
22.13,100896,50
22.12,100888,50
22.13,100890,50
22.13,100895,50
22.13,100898,50
22.13,100893,50
22.13,100892,50
22.13,100898,50
22.14,100886,50
22.13,100896,50
22.14,100891,50
22.15,100882,50
22.15,100893,50
22.14,100892,50
22.14,100889,50
22.14,100892,50
22.14,100886,50
22.15,100893,50
22.15,100893,50
22.15,100888,50
22.16,100892,50
22.16,100892,50
22.15,100891,50
22.18,100891,50
22.16,100890,50
22.18,100897,50
22.17,100891,50
22.18,100897,50
22.18,100895,50
22.18,100889,50
22.18,100898,50
22.18,100896,50
22.18,100893,50
22.19,100897,50
22.18,100887,50
22.18,100887,50
22.18,100893,50
22.19,100894,50
22.2,100895,50
22.2,100892,50
22.2,100895,50
22.21,100896,50
22.21,100894,50
22.21,100899,50
22.21,100896,50
22.2,100893,50
22.2,100893,50
22.21,100896,50
22.21,100891,50
22.2,100890,50
22.21,100895,50
22.21,100896,50
22.22,100893,50
22.22,100895,50
22.22,100893,50
22.21,100896,50
22.22,100893,50
22.21,100886,50
22.22,100893,50
22.22,100893,50
22.22,100893,50
22.22,100893,50
22.22,100893,50
22.22,100895,50
22.22,100887,50
22.22,100893,50
22.23,100892,50
22.23,100890,50
22.23,100894,50
22.23,100897,50
22.22,100891,50
22.23,100894,50
22.24,100893,50
22.23,100890,50
22.22,100891,50
22.24,100896,50
22.24,100896,50
22.25,100898,50
22.24,100890,50
22.24,100890,50
22.25,100887,50
22.24,100890,50
22.25,100895,50
22.25,100895,50
22.25,100898,50
22.26,100888,50
22.25,100884,50
22.26,100894,50
22.25,100896,50
22.26,100894,50
22.26,100894,50
22.26,100891,50
22.26,100895,50
22.26,100894,50
22.26,100900,50
22.27,100902,50
22.27,100896,50
22.27,100896,50
22.26,100891,50
22.27,100890,50
22.27,100890,50
22.27,100893,50
22.26,100889,50
22.27,100896,50
22.27,100890,50
22.27,100893,50
22.27,100896,50
22.27,100891,50
22.27,100890,50
22.27,100890,50
22.27,100896,50
22.27,100890,50
22.28,100900,50
22.27,100896,50
22.27,100898,50
22.28,100886,50
22.27,100890,50
22.28,100886,50
22.28,100895,50
22.28,100887,50
22.29,100893,50
22.29,100891,50
22.3,100895,50
22.3,100895,50
22.28,100894,50
22.29,100899,50
22.29,100893,50
22.29,100893,50
22.29,100894,50
22.29,100889,50
22.29,100899,50
22.28,100893,50
22.3,100890,50
22.29,100894,50
22.3,100892,50
22.3,100901,50
22.3,100901,50
22.3,100890,50
22.3,100890,50
22.3,100887,50
22.31,100900,50
22.3,100890,50
22.3,100892,50
22.32,100896,50
22.31,100897,50
22.31,100894,50
22.31,100895,50
22.32,100901,50
22.31,100894,50
22.32,100896,50
22.31,100900,50
22.31,100897,50
22.32,100898,50
22.32,100896,50
22.32,100898,50
22.32,100901,50
22.32,100894,50
22.33,100900,50
22.32,100893,50
22.32,100893,50
22.32,100896,50
22.33,100897,50
22.32,100898,50
22.33,100895,50
22.32,100893,50
22.32,100893,50
22.33,100896,50
22.33,100895,50
22.33,100895,50
22.33,100897,50
22.33,100895,50
22.34,100902,50
22.34,100896,50
22.34,100896,50
22.34,100896,50
22.34,100899,50
22.35,100901,50
22.34,100896,50
22.34,100899,50
22.34,100903,50
22.33,100896,50
22.34,100897,50
22.34,100894,50
22.34,100897,50
22.35,100898,50
22.35,100893,50
22.35,100898,50
22.35,100896,50
22.36,100897,50
22.35,100895,50
22.35,100893,50
22.35,100898,50
22.35,100893,50
22.36,100900,50
22.35,100898,50
22.35,100893,50
22.35,100893,50
22.35,100899,50
22.36,100894,50
22.35,100895,50
22.35,100902,50
22.36,100894,50
22.36,100901,50
22.36,100900,50
22.37,100893,50
22.35,100904,50
22.36,100895,50
22.37,100904,50
22.36,100900,50
22.36,100900,50
22.36,100900,50
22.37,100901,50
22.37,100904,50
22.36,100900,50
22.37,100896,50
22.37,100902,50
22.37,100901,50
22.37,100901,50
22.37,100907,50
22.37,100901,50
22.36,100894,50
22.37,100901,50
22.37,100896,50
22.37,100902,50
22.37,100907,50
22.37,100899,50
22.37,100894,50
22.36,100894,50
22.37,100901,50
22.37,100902,50
22.38,100898,50
22.37,100905,50
22.37,100901,50
22.37,100896,50
22.38,100898,50
22.37,100902,50
22.37,100901,50
22.37,100899,50
22.37,100896,50
22.37,100902,50
22.37,100901,50
22.37,100902,50
22.37,100900,50
22.37,100899,50
22.38,100900,50
22.37,100897,50
22.38,100903,50
22.38,100898,50
22.38,100901,50
22.37,100897,50
22.39,100903,50
22.38,100889,50
22.38,100900,50
22.39,100897,50
22.39,100894,50
22.39,100894,49
22.39,100902,49
22.39,100905,49
22.39,100908,49
22.38,100893,49
22.39,100906,49
22.39,100905,49
22.39,100899,49
22.4,100904,49
22.39,100899,49
22.39,100900,49
22.39,100899,49
22.39,100908,49
22.4,100901,49
22.4,100901,49
22.4,100901,49
22.4,100902,49
22.4,100901,49
22.4,100904,49
22.4,100898,49
22.41,100903,49
22.39,100899,49
22.4,100905,49
22.4,100907,49
22.4,100902,49
22.4,100901,49
22.41,100900,49
22.4,100901,49
22.41,100903,49
22.41,100903,49
22.4,100907,49
22.41,100909,49
22.41,100903,49
22.42,100904,49
22.41,100903,49
22.41,100903,49
22.42,100907,49
22.41,100901,49
22.41,100903,49
22.42,100899,49
22.41,100905,49
22.41,100898,49
22.41,100906,49
22.42,100904,49
22.43,100906,49
22.42,100899,49
22.42,100905,49
22.42,100904,49
22.43,100906,49
22.42,100900,49
22.42,100902,49
22.42,100905,49
22.43,100901,49
22.43,100901,49
22.43,100903,49
22.43,100898,49
22.43,100903,49
22.43,100906,49
22.43,100903,49
22.43,100901,49
22.43,100901,49
22.43,100901,49
22.44,100902,49
22.44,100897,49
22.44,100905,49
22.44,100902,49
22.43,100901,49
22.43,100896,49
22.44,100902,49
22.43,100906,49
22.44,100908,49
22.43,100903,49
22.44,100902,49
22.44,100906,49
22.45,100904,49
22.44,100906,49
22.45,100901,49
22.44,100902,49
22.44,100898,49
22.45,100904,49
22.44,100909,49
22.44,100900,49
22.46,100906,49
22.44,100903,49
22.45,100904,49
22.45,100909,49
22.45,100904,49
22.46,100906,49
22.45,100896,49
22.45,100905,49
22.46,100897,49
22.46,100911,49
22.46,100908,49
22.46,100900,49
22.46,100906,49
22.45,100905,49
22.46,100911,49
22.46,100904,49
22.45,100905,49
22.46,100906,49
22.46,100900,49
22.46,100903,49
22.45,100902,49
22.46,100900,49
22.47,100899,49
22.46,100906,49
22.46,100901,49
22.47,100902,49
22.47,100903,49
22.46,100904,49
22.46,100903,49
22.47,100907,49
22.46,100906,49
22.47,100902,49
22.47,100902,49
22.48,100903,49
22.47,100897,49
22.48,100909,49
22.47,100905,49
22.48,100903,49
22.48,100901,49
22.48,100901,49
22.48,100906,49
22.48,100909,49
22.48,100909,49
22.48,100903,49
22.47,100900,49
22.48,100898,49
22.48,100909,49
22.49,100900,49
22.49,100906,49
22.49,100902,49
22.49,100905,49
22.48,100901,49
22.5,100901,49
22.49,100902,49
22.49,100900,49
22.49,100900,49
22.49,100905,49
22.49,100902,49
22.49,100900,49
22.49,100905,49
22.5,100907,49
22.5,100907,49
22.51,100909,49
22.5,100904,49
22.5,100907,49
22.51,100903,49
22.5,100904,49
22.51,100903,49
22.5,100912,49
22.5,100896,49
22.5,100901,49
22.51,100900,49
22.51,100909,49
22.5,100908,49
22.5,100907,49
22.5,100905,49
22.51,100906,49
22.5,100908,49
22.51,100900,49
22.5,100905,49
22.51,100900,49
22.51,100909,49
22.5,100905,49
22.51,100911,49
22.51,100909,49
22.51,100909,49
22.52,100905,49
22.51,100911,49
22.52,100908,49
22.52,100905,49
22.52,100910,49
22.52,100905,49
22.52,100905,49
22.51,100907,49
22.52,100906,49
22.52,100899,49
22.52,100908,49
22.52,100905,49
22.52,100905,49
22.53,100904,49
22.52,100906,49
22.53,100904,49
22.52,100906,49
22.52,100905,49
22.52,100902,49
22.52,100911,49
22.53,100907,49
22.52,100906,49
22.54,100903,49
22.53,100899,49
22.53,100906,49
22.53,100904,49
22.54,100916,49
22.53,100907,49
22.53,100909,49
22.53,100906,49
22.53,100895,49
22.53,100907,49
22.54,100903,49
22.53,100905,49
22.53,100902,49
22.54,100908,49
22.54,100908,49
22.54,100908,49
22.53,100902,49
22.55,100902,49
22.54,100905,49
22.54,100908,49
22.53,100898,49
22.54,100908,49
22.54,100903,49
22.53,100902,49
22.54,100908,49
22.53,100906,49
22.54,100905,49
22.54,100912,49
22.53,100902,49
22.54,100909,49
22.54,100900,49
22.54,100905,49
22.54,100903,49
22.54,100909,49
22.55,100913,49
22.55,100904,49
22.54,100903,49
22.54,100909,49
22.55,100913,49
22.55,100910,49
22.54,100903,49
22.55,100907,49
22.56,100906,49
22.56,100903,49
22.55,100905,49
22.56,100903,49
22.56,100898,49
22.57,100905,49
22.57,100908,49
22.55,100905,49
22.56,100907,49
22.56,100906,49
22.56,100903,49
22.56,100910,49
22.56,100907,49
22.56,100899,49
22.57,100908,49
22.57,100908,49
22.57,100902,49
22.57,100910,49
22.57,100910,49
22.57,100909,49
22.56,100907,49
22.57,100909,49
22.57,100908,49
22.56,100910,49
22.57,100906,49
22.58,100910,49
22.56,100904,49
22.56,100906,49
22.57,100913,49
22.57,100914,49
22.58,100915,49
22.57,100908,49
22.58,100909,49
22.57,100906,49
22.58,100905,49
22.58,100909,49
22.58,100904,49
22.58,100909,49
22.58,100910,49
22.58,100910,49
22.58,100904,49
22.57,100914,49
22.58,100909,49
22.58,100910,49
22.58,100910,49
22.58,100910,49
22.58,100907,49
22.59,100903,49
22.57,100897,49
22.56,100898,49
22.52,100894,49
22.52,100899,49
22.5,100901,48
22.48,100903,48
22.46,100898,48
22.45,100898,48
22.43,100899,48
22.4,100894,48
22.4,100902,49
22.38,100904,49
22.37,100904,49
22.36,100905,49
22.35,100912,49
22.33,100906,49
22.33,100917,49
22.3,100918,49
22.31,100916,50
22.29,100921,50
22.29,100929,50
22.28,100930,49
22.29,100929,50
22.26,100933,50
22.26,100933,50
22.26,100935,50
22.25,100936,50
22.24,100935,50
22.23,100933,50
22.24,100935,50
22.24,100933,50
22.24,100938,50
22.24,100938,50
22.24,100932,50
22.25,100936,50
22.25,100925,50
22.26,100933,50
22.26,100933,50
22.28,100928,50
22.29,100936,51
22.28,100936,51
22.27,100937,51
22.25,100936,51
22.23,100939,51
22.2,100939,50
22.21,100936,50
22.21,100942,50
22.21,100931,50
22.21,100941,50
22.2,100939,50
22.21,100939,50
22.21,100942,50
22.21,100936,50
22.23,100941,50
22.23,100942,50
22.22,100937,50
22.22,100942,50
22.21,100942,50
22.23,100939,50
22.24,100940,50
22.23,100942,50
22.24,100940,50
22.24,100940,50
22.25,100934,50
22.24,100944,50
22.25,100936,50
22.24,100932,50
22.24,100941,50
22.25,100942,50
22.25,100939,50
22.25,100939,50
22.24,100938,50
22.26,100944,50
22.26,100938,50
22.26,100933,50
22.27,100940,50
22.27,100940,50
22.26,100935,50
22.27,100937,50
22.28,100942,50
22.26,100933,50
22.28,100939,50
22.27,100941,50
22.27,100940,50
22.28,100933,50
22.29,100940,50
22.28,100937,50
22.3,100945,50
22.29,100943,50
22.3,100942,50
22.31,100947,50
22.3,100939,50
22.31,100941,50
22.3,100939,50
22.31,100942,50
22.31,100936,50
22.31,100938,50
22.31,100936,50
22.33,100939,50
22.33,100939,50
22.33,100939,49
22.33,100939,49
22.33,100940,49
22.33,100936,49
22.32,100937,49
22.31,100942,49
22.32,100937,49
22.31,100941,49
22.31,100936,49
22.32,100943,49
22.31,100938,49
22.31,100948,49
22.31,100942,49
22.32,100937,49
22.32,100937,49
22.31,100936,49
22.31,100942,49
22.31,100941,49
22.31,100936,49
22.3,100938,49
22.3,100939,49
22.3,100945,49
22.3,100934,49
22.3,100937,49
22.29,100949,49
22.28,100937,49
22.28,100937,49
22.28,100947,49
22.27,100941,49
22.27,100945,50
22.27,100941,49
22.26,100939,49
22.27,100940,49
22.26,100944,49
22.26,100944,49
22.26,100941,50
22.25,100942,50
22.24,100946,50
22.25,100946,50
22.24,100938,50
22.24,100946,50
22.23,100939,50
22.24,100940,50
22.23,100939,50
22.24,100940,50
22.23,100942,50
22.23,100939,50
22.24,100946,50
22.23,100941,50
22.24,100936,50
22.26,100949,50
22.26,100944,50
22.26,100944,50
22.25,100942,50
22.25,100942,50
22.25,100942,50
22.25,100937,50
22.25,100939,50
22.25,100943,50
22.25,100942,50
22.25,100945,50
22.25,100943,50
22.27,100940,50
22.27,100945,50
22.27,100945,50
22.26,100946,50
22.25,100943,50
22.25,100948,50
22.26,100944,50
22.25,100948,50
22.25,100936,50
22.25,100945,50
22.25,100948,50
22.24,100936,50
22.24,100951,50
22.24,100946,50
22.24,100946,50
22.22,100943,50
22.24,100946,50
22.23,100951,50
22.24,100940,50
22.24,100943,50
22.22,100941,50
22.22,100946,50
22.22,100942,50
22.23,100951,50
22.22,100948,50
22.22,100937,50
22.23,100941,50
22.23,100942,50
22.23,100944,50
22.23,100945,50
22.22,100942,50
22.22,100943,50
22.23,100944,50
22.22,100945,50
22.22,100948,50
22.22,100942,50
22.22,100940,50
22.21,100944,50
22.21,100952,50
22.2,100942,50
22.21,100944,50
22.21,100953,50
22.21,100936,50
22.23,100956,50
22.22,100948,50
22.22,100943,50
22.22,100943,50
22.23,100941,50
22.22,100942,50
22.22,100948,50
22.22,100948,50
22.22,100940,50
22.22,100948,50
22.22,100945,50
22.21,100941,50
22.21,100942,50
22.21,100944,50
22.22,100941,50
22.2,100940,50
22.21,100952,50
22.21,100941,50
22.21,100944,50
22.2,100940,50
22.21,100952,50
22.21,100941,50
22.2,100943,50
22.21,100946,50
22.21,100938,50
22.21,100938,50
22.2,100945,50
22.2,100951,50
22.21,100952,50
22.22,100945,50
22.21,100935,50
22.22,100948,50
22.21,100944,50
22.2,100945,50
22.21,100944,50
22.21,100944,50
22.21,100941,50
22.21,100946,50
22.22,100948,50
22.21,100952,50
22.21,100944,50
22.21,100946,50
22.21,100942,50
22.21,100944,50
22.22,100948,50
22.21,100947,50
22.22,100942,50
22.2,100951,50
22.21,100952,50
22.2,100943,50
22.2,100945,50
22.2,100942,50
22.21,100941,50
22.21,100952,50
22.21,100941,50
22.21,100946,50
22.2,100945,50
22.21,100946,50
22.2,100940,50
22.2,100950,50
22.2,100945,50
22.18,100943,50
22.2,100945,50
22.2,100945,50
22.19,100944,50
22.21,100941,50
22.2,100940,50
22.22,100954,50
22.21,100942,50
22.21,100941,50
22.22,100942,50
22.22,100948,50
22.23,100947,50
22.22,100943,50
22.23,100944,50
22.23,100950,50
22.24,100946,50
22.24,100949,50
22.25,100948,50
22.25,100945,50
22.25,100953,50
22.25,100942,50
22.26,100944,50
22.27,100945,50
22.26,100946,50
22.26,100944,50
22.26,100952,50
22.26,100942,50
22.26,100945,50
22.25,100946,50
22.27,100945,50
22.27,100945,50
22.27,100951,50
22.27,100946,50
22.28,100942,50
22.27,100941,50
22.27,100951,50
22.28,100945,50
22.28,100939,50
22.28,100948,50
22.29,100943,50
22.28,100940,50
22.28,100942,50
22.28,100944,50
22.29,100949,50
22.29,100949,50
22.3,100948,50
22.29,100944,50
22.29,100946,50
22.29,100949,50
22.28,100947,50
22.28,100944,50
22.28,100942,50
22.28,100944,50
22.29,100940,50
22.28,100944,50
22.29,100944,50
22.28,100942,50
22.28,100942,50
22.28,100947,50
22.28,100942,50
22.26,100945,50
22.28,100942,50
22.27,100945,50
22.27,100943,50
22.27,100945,50
22.26,100938,50
22.27,100945,50
22.27,100945,50
22.26,100945,50
22.26,100938,50
22.27,100945,50
22.25,100945,50
22.25,100943,50
22.25,100946,50
22.26,100944,50
22.24,100940,50
22.24,100946,50
22.25,100948,50
22.24,100947,50
22.24,100947,50
22.24,100941,50
22.24,100947,50
22.24,100940,50
22.23,100939,50
22.23,100947,50
22.24,100946,50
22.23,100945,50
22.24,100947,50
22.23,100951,50
22.24,100940,50
22.23,100944,50
22.23,100944,50
22.24,100949,50
22.24,100941,50
22.24,100947,50
22.24,100951,50
22.24,100944,50
22.25,100950,50
22.24,100940,50
22.25,100948,50
22.26,100938,50
22.25,100943,50
22.26,100944,50
22.26,100949,50
22.25,100945,50
22.25,100948,50
22.25,100948,50
22.25,100950,50
22.24,100944,50
22.25,100948,50
22.24,100943,50
22.25,100942,50
22.24,100940,50
22.24,100947,50
22.23,100945,50
22.24,100940,50
22.23,100945,50
22.24,100940,50
22.24,100940,50
22.24,100943,50
22.24,100940,50
22.24,100946,50
22.22,100940,50
22.22,100938,50
22.22,100943,50
22.22,100948,50
22.22,100945,50
22.22,100942,50
22.22,100942,50
22.22,100942,50
22.22,100942,50
22.22,100940,50
22.22,100942,50
22.23,100944,50
22.22,100942,50
22.21,100939,50
22.21,100946,50
22.22,100943,50
22.22,100946,50
22.23,100947,50
22.23,100942,50
22.24,100951,50
22.24,100951,50
22.24,100947,50
22.24,100949,50
22.24,100944,50
22.24,100947,50
22.24,100941,50
22.25,100939,50
22.25,100948,50
22.25,100948,50
22.25,100939,50
22.24,100947,50
22.25,100942,50
22.25,100945,50
22.24,100946,50
22.24,100940,50
22.23,100939,50
22.24,100946,50
22.24,100940,50
22.23,100951,50
22.22,100941,50
22.22,100945,50
22.23,100939,50
22.22,100942,50
22.22,100942,50
22.22,100948,50
22.21,100941,50
22.21,100946,50
22.22,100942,50
22.21,100952,50
22.21,100946,50
22.2,100942,50
22.2,100939,50
22.18,100948,50
22.18,100942,50
22.18,100943,50
22.2,100945,50
22.18,100938,50
22.18,100941,50
22.18,100950,50
22.18,100941,50
22.18,100943,50
22.18,100937,50
22.2,100939,50
22.19,100944,50
